"draw","cumulative","peakDebt","breakEven","year10Cost","northGrowth","southGrowth","ukPensionShare","ukDebtShare","reratingScope","interestRate","taxMultiplier","investmentOutputReturn","oneOffTransitionCost"
"906","367.37","257.16","","13.49","2.7697","2.308","70.3767","70.3767","48.7158","3.7865","0.5576","0.0586","5.1984"
"907","445.49","311.85","","16.45","2.5336","2.34","52.0561","52.0561","47.0462","3.422","0.548","0.0517","2.3777"
"908","574.8","402.36","","19.45","1.3","1.5","59.3431","59.3431","53.1362","4.9286","0.8193","0.02","4.6933"
"909","331.99","232.39","","12.88","4.057","2.9667","65.6939","65.6939","66.0099","3.2419","0.36","0.0963","8.376"
"910","114.11","79.88","","5.09","3.5989","2.6709","100","100","25","3.1032","0.4487","0.0829","3.5766"
"911","378.84","265.19","","14.89","3.8711","2.6465","49.3861","49.3861","64.9378","3.4072","0.456","0.0909","5.9563"
"912","252.87","177.01","","10.7","4.3925","2.7726","67.6658","67.6658","61.9427","3.4371","0.4182","0.1062","7.7452"
"913","566.71","396.7","","20.06","2.0079","1.9569","45.3139","45.3139","58.9811","4.1445","0.6629","0.0362","4.1005"
"914","261","182.7","","10.37","3.3481","2.5262","73.4847","73.4847","37.8482","3.2621","0.4921","0.0755","3.2237"
"915","273.69","191.58","","10.15","3.3651","2.8763","88.2682","88.2682","47.7196","3.2524","0.3871","0.076","7.3751"
"916","647.47","453.23","","22.63","2.4254","2.3577","40.4206","40.4206","82.6726","4.1113","0.5427","0.0485","8.6573"
"917","382.35","267.64","","13.42","1.8598","1.5709","78.0542","78.0542","41.6603","4.7405","0.7787","0.0319","4.6743"
"918","184.1","128.87","","7.41","3.3256","2.7691","90.449","90.449","25","2.8104","0.4193","0.0749","2.1882"
"919","557.67","390.37","","20.04","2.8225","2.1551","42.4905","42.4905","75.8275","4.2502","0.6035","0.0601","7.4286"
"920","209.83","146.88","","8.98","4.2342","3.2808","70.082","70.082","33.474","2.0634","0.2658","0.1015","1.8057"
"921","235.49","164.84","","10.2","4.8","3.3851","62.4735","62.4735","53.3796","2.3019","0.2345","0.1374","5.166"
"922","637.24","446.07","","21.9","1.8432","2.5982","53.7413","53.7413","75.0744","3.7933","0.4705","0.0314","8.7696"
"923","142.39","99.67","","7.81","4.5506","2.4263","65.7239","65.7239","45.5773","3.4746","0.5221","0.1108","3.8848"
